"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-12-31,72653,"33511","FL","Tampa","Hillsborough","Brandon",389,203400,0.00693069306930693,0.0185277916875313,0.0727848101265823,0.0973976325721697,0.00310040047500548,"2006-08","2006-Q3",226000,-0.1,"2005-11"
2017-12-31,98135,"95355","CA","Modesto","Stanislaus","Modesto",390,313600,0.00545046489259378,0.0201691607026675,0.0926829268292683,0.134038910769907,0.00397588316434061,"2006-02","2006-Q1",395000,-0.206075949367089,"2004-12"
2017-12-31,73761,"36117","AL","Montgomery","Montgomery","Montgomery",391,159500,0.00949367088607595,-0.0129950495049505,-0.0238678090575275,0.0078294981269551,0.00663050689241951,"2009-12","2009-Q4",181500,-0.121212121212121,"2009-01"
2017-12-31,99930,"98632","WA","Longview","Cowlitz","Longview",392,170400,-0.00641399416909621,0.000587199060481503,0.127729980145599,0.0393424204273671,-0.0102015712738538,"2008-04","2008-Q2",192000,-0.1125,"2006-08"
2017-12-31,66834,"21224","MD","Baltimore","Baltimore City","Baltimore",393,193300,0.00103573278094252,0.0205913410770855,0.098919840818647,0.0752313389323498,0.0187054539879912,"2017-12","2017-Q4",193300,0,"2017-12"
2017-12-31,96690,"92154","CA","San Diego","San Diego","San Diego",394,452400,0.00110643947776057,0.00847079803834151,0.0528275541075169,0.0982887761042344,0.00917799296899924,"2006-05","2006-Q2",486000,-0.0691358024691358,"2005-01"
2017-12-31,72617,"33458","FL","Miami-Fort Lauderdale","Palm Beach","Jupiter",395,327100,0.0012243648607285,0.0167858253030774,0.054821025475653,0.0903002457937998,0.0215856246663637,"2006-04","2006-Q2",359700,-0.0906310814567695,"2005-06"
2017-12-31,76596,"43229","OH","Columbus","Franklin","Columbus",396,146900,0.0138026224982747,0.036697247706422,0.100374531835206,0.0767407528972639,0.0135511650847471,"2017-12","2017-Q4",146900,0,"2017-12"
2017-12-31,73221,"34787","FL","Orlando","Orange","Winter Garden",397,271700,0.0062962962962963,0.0160807778608826,0.0409961685823755,0.0799001015259593,0.00200951874317812,"2006-07","2006-Q3",305700,-0.111220150474321,"2005-10"
2017-12-31,99251,"97401","OR","Eugene","Lane","Eugene",398,313600,0.00545046489259378,0.0158730158730159,0.0626906133514063,0.0680888754300291,0.00907894105331142,"2017-12","2017-Q4",313600,0,"2017-12"
2017-12-31,71897,"32246","FL","Jacksonville","Duval","Jacksonville",399,170000,0.0125074449076831,0.024713682941531,0.0876519513755598,0.100954170830161,-0.0052010148434618,"2006-11","2006-Q4",189800,-0.10432033719705,"2005-11"
2017-12-31,70513,"29485","SC","Charleston","Dorchester","Summerville",400,207200,0.00631374453618261,0.0237154150197628,0.081419624217119,0.0503193033072429,0.0124419711082817,"2017-12","2017-Q4",207200,0,"2017-12"
2017-12-31,72581,"33414","FL","Miami-Fort Lauderdale","Palm Beach","Wellington",401,366300,-0.00027292576419214,0.0129977876106195,0.0553154710458081,0.0968768353464431,0.0126594961520359,"2006-04","2006-Q2",418100,-0.123893805309735,"2005-04"
2017-12-31,69489,"27705","NC","Durham","Durham","Durham",402,249300,0.00483675937122128,0.0105391163356303,0.0305911533691608,0.0603319965341576,0.0280235768885961,"2017-12","2017-Q4",249300,0,"2017-12"
2017-12-31,87563,"67401","KS","Salina","Saline","Salina",403,109600,0.0055045871559633,0.0204841713221601,0.0713587487781036,0.0222092657520776,,"2017-12","2017-Q4",109600,0,"2017-12"
